City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Chernyshevskiy,RU,2022-04-05 00:40:20,63.0128,112.4714,7.09,88,99,3.22
145,Japura,ID,2022-04-05 00:40:20,-0.3167,102.35,77.47,91,29,1.01
146,Mizdah,LY,2022-04-05 00:40:21,31.4451,12.9801,74.12,13,26,9.84
147,Mendoza,AR,2022-04-05 00:40:21,-32.8908,-68.8272,63.93,45,0,3.44
148,Opuwo,NA,2022-04-05 00:40:21,-18.0607,13.84,63.23,68,14,5.01
149,Leesburg,US,2022-04-05 00:40:22,39.1157,-77.5636,53.26,58,75,0.0
150,Haines Junction,CA,2022-04-05 00:40:22,60.7522,-137.5108,37.35,44,43,9.22
151,Pilar,BR,2022-04-05 00:40:22,-9.5972,-35.9567,75.13,87,1,0.87
152,Phayao,TH,2022-04-05 00:40:23,19.25,100.25,75.92,58,12,1.23
153,Ola,RU,2022-04-05 00:40:23,59.5833,151.2833,23.14,87,100,25.28
154,Westport,US,2022-04-05 00:40:24,41.1415,-73.3579,51.57,50,20,7.0
155,Thompson,CA,2022-04-05 00:37:10,55.7435,-97.8558,41.16,42,0,5.75
156,Dombarovskiy,RU,2022-04-05 00:40:24,50.7587,59.5386,38.17,90,100,10.98
157,Malanje,AO,2022-04-05 00:40:24,-9.5402,16.341,64.29,96,98,2.89
158,Fredericksburg,US,2022-04-05 00:36:50,38.3032,-77.4605,56.21,48,100,4.61
159,Petropavlovsk-Kamchatskiy,RU,2022-04-05 00:40:25,53.0452,158.6483,39.78,45,0,2.24
160,Nouadhibou,MR,2022-04-05 00:40:25,20.931,-17.0347,64.38,94,20,9.22
161,Bogale,MM,2022-04-05 00:40:26,16.2833,95.4,80.85,64,67,3.76
162,Marsh Harbour,BS,2022-04-05 00:40:26,26.5412,-77.0636,75.13,77,15,11.5
163,Fiche,ET,2022-04-05 00:40:26,9.8,38.7333,53.15,42,32,2.77
164,Broomall,US,2022-04-05 00:40:27,39.9815,-75.3566,50.99,50,100,5.75
165,Big Spring,US,2022-04-05 00:40:27,32.2504,-101.4787,72.05,46,0,0.0
166,Piacabucu,BR,2022-04-05 00:40:27,-10.4056,-36.4344,76.86,78,10,3.47
167,Magdalena,PH,2022-04-05 00:40:28,14.1999,121.429,79.16,86,100,10.36
168,Pokhara,NP,2022-04-05 00:40:28,28.2333,83.9833,71.47,44,3,5.99
169,Quang Ngai,VN,2022-04-05 00:38:54,15.1167,108.8,69.8,90,100,7.14
170,Bokoro,TD,2022-04-05 00:40:28,12.3807,17.0568,86.04,34,66,4.21
171,Penzance,GB,2022-04-05 00:40:29,50.1186,-5.5371,50.68,92,100,17.31
172,Fairbanks,US,2022-04-05 00:38:25,64.8378,-147.7164,24.1,56,75,5.75
173,Kotido,UG,2022-04-05 00:40:29,2.9806,34.1331,74.62,45,11,10.13
174,Cocorit,MX,2022-04-05 00:40:29,27.5833,-109.9667,73.74,39,0,11.81
175,Aliwal North,ZA,2022-04-05 00:40:30,-30.6937,26.7114,52.81,52,0,4.68
